,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,SNR,logq
WBGene00015687,8652.71505241444,0.856456204976045,0.0235369447188747,36.3877391566986,6.65334302156588e-290,6.36127253977171e-288,chdp-1,9.89812099194299e-05,287.196455997289
WBGene00006044,340.42510214299,-4.04755927536652,0.111616505125729,-36.2630891444522,6.18012733230838e-288,5.87563454183454e-286,ssp-16,-0.0118897203816257,285.230945224693
WBGene00003784,2839.4636889744,1.16479569216138,0.0321515591631299,36.2282801356994,2.18450452870805e-287,2.0652720748227e-285,nos-2,0.000410216794348971,284.68502272715
WBGene00003036,7970.6548901866,0.71146940575691,0.01970098209096,36.1133979246333,1.3976274026574e-285,1.3140026963984e-283,lin-53,8.92610978092735e-05,282.881403743582
WBGene00011587,1570.00337361638,-1.61129238236777,0.0446660066464609,-36.0742431066521,5.7494615496103e-285,5.3597968350118e-283,anp-1,-0.00102629867517818,282.270851672081
WBGene00011120,388.26736275541,-3.73423882708863,0.103515579766648,-36.0741719797795,5.76424407003574e-285,5.3597968350118e-283,R07E5.15,-0.00961769951661124,282.270851672081
WBGene00011968,652.733923504248,-3.49048669141593,0.096768662173131,-36.0704241748328,6.59934034450075e-285,6.10276703005389e-283,T23G11.1,-0.00534748779820882,282.214473208692
WBGene00018438,536.459250604833,2.17535859572523,0.060579183515102,35.9093416170412,2.18371096056952e-282,2.00842068400641e-280,btb-6,0.00405503044876681,279.697145314631
WBGene00009888,4234.74738861826,-0.876755386233438,0.0244603983129548,-35.8438720014256,2.29123345835455e-281,2.09592128733698e-279,F49E2.5,-0.000207038414756425,278.678625031382
WBGene00020715,556.50631800696,-3.27001250034328,0.0912719089773738,-35.8271513873334,4.17347045072491e-281,3.79718496976439e-279,nspd-4,-0.00587596653359538,278.420538246845
WBGene00006324,6612.86483352068,0.901052150503594,0.0251998157826705,35.7562991045051,5.28073225516816e-280,4.77892149487758e-278,sup-17,0.000136257457726363,277.320670103738
WBGene00000678,1483.04389496207,-6.67388751987147,0.186840085391422,-35.7197841453024,1.94930511406552e-279,1.75468566198568e-277,col-104,-0.00450012810985756,276.755800672641
WBGene00044177,360.003537073131,-3.75602847908044,0.105188720002793,-35.7075214812075,3.02152088743562e-279,2.70546021048006e-277,C30G7.3,-0.0104333099325006,276.567758848904
WBGene00010574,508.721057070191,-3.59923027805631,0.101073254598547,-35.610115577579,9.7696631514226e-278,8.70168471113288e-276,K04H4.5,-0.00707505661115125,275.060396656586
WBGene00003395,4382.69535478432,0.987556848716425,0.0277345632719027,35.6074418419597,1.07463419834442e-277,9.52148405161393e-276,mom-2,0.000225330936506542,275.021295355692
WBGene00003156,8687.75498285817,0.807149677547964,0.0226746463314143,35.5970128817273,1.5582556241901e-277,1.3734562462588e-275,mcm-4,9.29065885422129e-05,274.862185171199
WBGene00003435,1885.88772510193,-3.48115287093532,0.0978358749301446,-35.5815581290696,2.70208630642626e-277,2.36929567687314e-275,msp-40,-0.00184589613930871,274.625380738002
WBGene00000388,1245.17760188162,1.36418922839595,0.0383741481988243,35.5496940629875,8.3996005658981e-277,7.32713610189142e-275,cdc-25.3,0.00109557803347449,274.135065741346
WBGene00008210,1328.76276893193,1.24075693970022,0.0349052122820722,35.5464659453593,9.42181931803335e-277,8.17668965738863e-275,C49F5.6,0.000933768591889092,274.087422485389
WBGene00009553,4005.25871897261,0.790544973093727,0.0222799961622569,35.4822759993531,9.22496362839704e-276,7.96500303486546e-274,hinf-1,0.000197376756050483,273.098814054386
